ticker,date,open,high,low,close,volume
INFY.NS,2024-07-05,1651.449951171875,1665.8499755859375,1633.3499755859375,1647.449951171875,7065022
INFY.NS,2024-07-08,1643.0999755859375,1666.0,1640.0,1661.6500244140625,5880533
INFY.NS,2024-07-09,1659.9000244140625,1666.75,1651.0,1657.1500244140625,5191182
INFY.NS,2024-07-10,1657.0,1674.0,1637.550048828125,1648.25,9852770
INFY.NS,2024-07-11,1656.0,1665.0,1642.050048828125,1652.699951171875,8857679
INFY.NS,2024-07-12,1680.0,1719.75,1666.6500244140625,1711.75,17078316
INFY.NS,2024-07-15,1726.199951171875,1728.0,1702.6500244140625,1707.050048828125,6942230
INFY.NS,2024-07-16,1718.5999755859375,1737.9000244140625,1700.0,1726.050048828125,6886281
INFY.NS,2024-07-18,1719.0,1765.4000244140625,1719.0,1758.050048828125,11248896
INFY.NS,2024-07-19,1844.0,1844.0,1786.449951171875,1792.949951171875,29819116
INFY.NS,2024-07-22,1800.1500244140625,1823.0,1792.949951171875,1810.8499755859375,8462126
INFY.NS,2024-07-23,1810.0,1839.949951171875,1783.25,1836.9000244140625,7113056
INFY.NS,2024-07-24,1837.5,1842.3499755859375,1819.5999755859375,1833.949951171875,6002845
INFY.NS,2024-07-25,1820.0,1830.9000244140625,1812.0,1824.8499755859375,5815599
INFY.NS,2024-07-26,1825.3499755859375,1883.0,1825.3499755859375,1878.9000244140625,11369047
INFY.NS,2024-07-29,1893.5999755859375,1903.0,1864.0,1871.0999755859375,4635931
INFY.NS,2024-07-30,1871.0999755859375,1879.949951171875,1860.0,1877.1500244140625,2721265
INFY.NS,2024-07-31,1877.0,1885.1500244140625,1865.050048828125,1868.25,5004209
INFY.NS,2024-08-01,1856.0999755859375,1867.9000244140625,1845.0999755859375,1852.5999755859375,7475014
INFY.NS,2024-08-02,1843.0,1859.5,1816.1500244140625,1821.199951171875,7400938
INFY.NS,2024-08-05,1784.949951171875,1797.5,1718.550048828125,1751.9000244140625,10736703
INFY.NS,2024-08-06,1760.199951171875,1796.949951171875,1744.8499755859375,1751.0999755859375,7690163
INFY.NS,2024-08-07,1796.0,1797.9000244140625,1762.0999755859375,1791.6500244140625,5094329
INFY.NS,2024-08-08,1779.949951171875,1779.949951171875,1727.0999755859375,1743.1500244140625,6227910
INFY.NS,2024-08-09,1771.25,1780.75,1756.0,1770.75,4258524
INFY.NS,2024-08-12,1773.050048828125,1803.5,1768.0999755859375,1797.4000244140625,4315329
INFY.NS,2024-08-13,1810.0,1810.0,1789.050048828125,1797.449951171875,4176918
INFY.NS,2024-08-14,1802.0,1825.0,1797.449951171875,1823.25,7450718
INFY.NS,2024-08-16,1850.0,1861.8499755859375,1829.5,1858.949951171875,7335657
INFY.NS,2024-08-19,1860.0,1867.550048828125,1849.199951171875,1864.800048828125,2585989
INFY.NS,2024-08-20,1880.0,1885.699951171875,1868.199951171875,1872.199951171875,3870333
INFY.NS,2024-08-21,1875.0999755859375,1879.0,1867.0999755859375,1872.699951171875,1966902
INFY.NS,2024-08-22,1884.0,1893.6500244140625,1869.699951171875,1880.25,4300287
INFY.NS,2024-08-23,1878.199951171875,1882.5999755859375,1857.0,1862.0999755859375,5015935
INFY.NS,2024-08-26,1870.0,1888.75,1864.0,1876.1500244140625,3728589
INFY.NS,2024-08-27,1876.1500244140625,1902.75,1873.9000244140625,1900.0999755859375,3830679
INFY.NS,2024-08-28,1906.9000244140625,1951.0,1897.4000244140625,1939.0999755859375,6514531
INFY.NS,2024-08-29,1933.0,1950.5,1920.9000244140625,1933.3499755859375,7228284
INFY.NS,2024-08-30,1938.0,1950.0,1928.0,1943.699951171875,13466759
INFY.NS,2024-09-02,1943.3499755859375,1975.75,1942.800048828125,1964.5,5573739
INFY.NS,2024-09-03,1967.0,1967.0,1936.449951171875,1941.25,4694322
INFY.NS,2024-09-04,1921.0999755859375,1927.199951171875,1900.050048828125,1922.449951171875,4778310
INFY.NS,2024-09-05,1926.25,1940.0,1909.5999755859375,1933.1500244140625,4081810
INFY.NS,2024-09-06,1922.0,1936.5,1896.8499755859375,1901.8499755859375,5848106
INFY.NS,2024-09-09,1890.0,1920.8499755859375,1889.0,1894.6500244140625,4772612
